Unnamed: 0	Unnamed: 0.1	MODEL_ID	SDK3.5: FC=250MHz CL=175MHz	14_10_2020	23_11_2020	16_12_2020
0	0	0	6.75633	7.808199	7.838098	8.176517
1	1	1	6.958425	7.8425259999999986	7.876760000000001	8.439636
2	2	2	7.767089	7.850828	7.853966000000001	8.542796
3	3	3	7.671721000000002	8.071139	8.069814	8.646981
4	4	4	7.4568660000000015	8.094603999999999	8.124578	8.417866
5	5	5	7.5372	8.480253999999999	8.476626	9.126301
6	6	6	7.676829	8.319245	8.317648	8.983274
7	7	7	7.449675	8.327546	8.328064	9.258873
8	8	8	7.125032000000001	7.819250999999999	7.819134	8.591061
9	9	9	7.084658	7.902021	7.900538	8.537108
10	10	10	7.278494999999999	7.817309	7.813766	8.488768
11	11	11	6.427716	7.475144	7.475653	8.044934
12	12	12	6.063097	6.653258	6.65199	7.263504
13	13	13	5.876167	6.624698	6.6248949999999995	7.18643
14	14	14	5.601814	6.4064809999999985	6.404498	6.841494
15	15	15	5.282983	5.867877	5.868302	6.228011
16	16	16	4.527786	6.3841470000000005	6.384651	
17	17	17	5.913087	6.323487	6.322551	6.46782
18	18	18	5.981472	6.854522	6.8528139999999995	7.147827
19	19	19	5.727079	6.703130000000002	6.702953	7.123263
20	20	20	5.791325	6.5232199999999985	6.52312	6.723294
21	21	21	5.313634	6.106	6.106011	6.30923
22	22	22	5.585749	6.597486	6.596663	6.743352
23	23	23	5.406378	6.551149	6.550889	6.808806
24	24	24	5.62603	6.391536	6.3913269999999995	6.562515
25	25	25	5.2004470000000005	6.088302	6.088143	6.275443
26	26	26	4.97893	5.574098	5.573514	5.713173
27	27	27	4.864435	5.563919	5.563934	5.679684
28	28	28	4.80691	5.4552760000000005	5.455483999999999	5.59489
29	29	29	4.626174	5.170012	5.17024	5.297851
30	30	30	4.272549	4.767858	4.766994	4.876299
31	31	31	3.6027339999999994	4.363151	4.360631	4.432595
32	32	32	5.0160860000000005	6.094213	6.030982	6.028071
