,Shared L1 Memory size Given,Shared L1 Memory size Used,L2 Memory size Given,L2 Memory size Used,L3 Memory size Given,L3 Memory size Used,L3 Memory bandwidth for 1 graph run,L2 Memory bandwidth for 1 graph run,Sum of all Kernels arguments size,Tiling Bandwith overhead,Percentage of baseline BW for L2,Percentage of baseline BW for L3,Sum of all Kernels operations,Total amount of flash coefficients
190,48736.0,43448.0,190000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
200,48736.0,43448.0,200000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
210,48736.0,43448.0,210000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
220,48736.0,43448.0,220000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
230,48736.0,43448.0,230000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
240,48736.0,43448.0,240000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
250,48736.0,43448.0,250000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
260,48736.0,43448.0,260000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
270,48736.0,43448.0,270000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
280,48736.0,43448.0,280000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
290,48736.0,43448.0,290000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
300,48736.0,43448.0,300000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
310,48736.0,43448.0,310000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
320,48736.0,43448.0,320000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
330,48736.0,43448.0,330000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
340,48736.0,43448.0,340000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
350,48736.0,43448.0,350000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
360,48736.0,43448.0,360000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
370,48736.0,43448.0,370000.0,49685.0,8000000.0,0.0,0.0,170318.0,170318.0,1.0,4.00916,0.0,2704780.0,25688.0
